Data Import Template
Table:,Storage Location
""
""
Notes:
Please do not change the template headings.
First data column must be blank.
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.
"For updating, you can update only selective columns."
You can only upload upto 5000 records in one go. (may be less in some cases)
""
DocType:,Storage Location,,,,,,,,,,,,,,,,,,,,,~,Storage Location Pallet Log,pallet_log,,,,,,,,,,,,,
Column Labels:,ID,Location Code,Location Type,Warehouse,Barcode / QR Value,Created On,Created By,Location Name,Zone,Enabled,Full,Machine / Aisle,Tray,Cell,Rack Number,Pallet Capacity,Allow Multiple Pallets,Maximum Length (mm),Maximum Width (mm),Maximum Height (mm),Maximum Weight (kg),,ID,Pallet,Event,Occurred At,Created On,Created By,Occurred By,Warehouse,Putaway Record,Stock Entry,Source Operation,Multi-Pallet Allowed,Pallet Capacity At Write,Pallets Present After,Note
Column Name:,name,location_code,location_type,warehouse,barcode_value,creation,owner,location_name,zone,enabled,is_full,machine_or_aisle,tray,cell,rack_number,pallet_capacity,allow_multiple_pallets,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,~,name,pallet,event,occurred_at,creation,owner,occurred_by,warehouse,putaway_record,stock_entry,source_operation,multi_pallet_allowed,pallet_capacity_at_write,pallets_present_after,note
Mandatory:,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
Type:,Data,Data,Select,Link,Data,Datetime,Link,Data,Data,Check,Check,Data,Data,Data,Data,Int,Check,Float,Float,Float,Float,,Data,Link,Select,Datetime,Datetime,Link,Link,Link,Link,Link,Data,Check,Int,Int,Small Text
Info:,,,"One of: V-Store Cell, Hi-Rise Rack, Floor Area, Quarantine",Valid Warehouse,,dd-mm-yyyy,Valid User,,,0 or 1,0 or 1,,,,,Integer,0 or 1,,,,,,,Valid Pallet,"One of: Placed, Removed",dd-mm-yyyy,dd-mm-yyyy,Valid User,Valid User,Valid Warehouse,Valid Putaway Record,Valid Stock Entry,,0 or 1,Integer,Integer,
Start entering data below this line
,,VSS-02,V-Store Cell,Stores - EE,VSS-02,,,VSRS Tray 2,VSS,1,0,VSRS,2,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-03,V-Store Cell,Stores - EE,VSS-03,,,VSRS Tray 3,VSS,1,0,VSRS,3,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-04,V-Store Cell,Stores - EE,VSS-04,,,VSRS Tray 4,VSS,1,0,VSRS,4,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-05,V-Store Cell,Stores - EE,VSS-05,,,VSRS Tray 5,VSS,1,0,VSRS,5,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-06,V-Store Cell,Stores - EE,VSS-06,,,VSRS Tray 6,VSS,1,0,VSRS,6,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-08,V-Store Cell,Stores - EE,VSS-08,,,VSRS Tray 8,VSS,1,0,VSRS,8,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-09,V-Store Cell,Stores - EE,VSS-09,,,VSRS Tray 9,VSS,1,0,VSRS,9,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-11,V-Store Cell,Stores - EE,VSS-11,,,VSRS Tray 11,VSS,1,0,VSRS,11,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-13,V-Store Cell,Stores - EE,VSS-13,,,VSRS Tray 13,VSS,1,0,VSRS,13,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-14,V-Store Cell,Stores - EE,VSS-14,,,VSRS Tray 14,VSS,1,0,VSRS,14,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-15,V-Store Cell,Stores - EE,VSS-15,,,VSRS Tray 15,VSS,1,0,VSRS,15,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
,,VSS-16,V-Store Cell,Stores - EE,VSS-16,,,VSRS Tray 16,VSS,1,0,VSRS,16,,,1,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
